,scores
284,-807.8254472074369
285,-762.5727147731643
286,-886.6977758462762
287,-866.4472355024483
288,-638.9392665335265
289,-1324.1712152008736
290,-925.9187886117414
291,-1023.658982995201
292,-770.8334111890689
293,-638.835588711436
294,-1213.3082711377215
295,-750.7581336817555
296,-883.8721440495825
297,-892.0217319624892
298,-1020.9661736821455
299,-1172.7702755429048
300,-1072.7077777638945
301,-734.1981100771222
302,-760.6921355838863
303,-892.971260340651
304,-938.0348856986784
305,-777.8793679570526
306,-765.6175587333391
307,-920.2027764117512
308,-776.9238141531969
309,-973.3492491794578
310,-766.643169958811
311,-777.7545052333535
312,-898.0087810058399
313,-903.0724954555312
314,-774.62533974848
315,-1126.0143534705207
316,-647.9275648371354
317,-887.8087161762793
318,-952.2687784610551
319,-769.9580916931022
320,-937.436764062403
321,-695.8868416226634
322,-771.3461388444377
323,-787.7490050870999
324,-544.7390575375678
325,-585.902851329224
326,-513.2862189590359
327,-700.2656008596647
328,-560.9876538382977
329,-770.8411460585522
330,-768.8432400983364
331,-871.1361797338199
332,-1058.4689073197862
333,-520.737974299442
334,-651.6786780483297
335,-906.2760165835244
336,-771.8627571232809
337,-644.2691272107398
338,-948.9925757088814
339,-651.9019195700596
340,-910.9611689164067
341,-832.1232800356491
342,-909.4154995080507
343,-635.7385043043296
344,-651.6663005765809
345,-518.6153490817242
346,-646.2721533043966
347,-901.406487469716
348,-644.822838138953
349,-663.9418776474324
350,-902.9592913295168
351,-899.9283538488493
352,-548.0417939344932
353,-1071.8031067881489
354,-521.7008147102276
355,-827.7724619737652
356,-521.7983879481029
357,-775.069834006586
358,-537.4568226983207
359,-899.115878635035
360,-803.6142530342778
361,-898.5280382015487
362,-773.4089332504645
363,-391.14936386970015
364,-816.601729750927
365,-924.7189869015563
366,-651.773382345333
367,-773.4562141232162
368,-646.148133562221
369,-793.5512413704869
370,-767.818827780958
371,-791.3267073472532
372,-922.1640671883177
373,-785.1713808086349
374,-513.7914093509024
375,-516.4339534953731
376,-936.9670033435198
377,-886.0572808141848
378,-759.3480536283688
379,-566.5518243765711
380,-671.001757802702
381,-639.4066095923022
382,-517.1850015573392
383,-523.0889040883195
384,-263.05964534569796
385,-944.3245609201941
386,-389.5038650140487
387,-758.0596251060833
388,-695.716058573251
389,-1381.5768404888174
390,-780.761831887051
391,-651.7708971363021
392,-783.9848425976893
393,-651.1337149417711
394,-642.842503977563
395,-639.057612406681
396,-402.9834692281945
397,-645.2430012535272
398,-778.3602061118498
399,-788.264211859764
400,-1002.877447753536
401,-782.8315723311327
402,-264.5301159580909
403,-648.7686016759578
404,-672.6012122963451
405,-703.7716567757064
406,-397.8049695676377
407,-516.9759230218956
408,-525.3563893326509
409,-388.1500776120238
410,-395.4756762435593
411,-412.19725749097046
412,-521.3768298772889
413,-652.6453816847276
414,-524.5316004882711
415,-690.6761374262679
416,-924.6747565042953
417,-621.6513243339515
418,-520.646554427132
419,-877.5269140829548
420,-527.0722673013177
421,-817.3422603612812
422,-392.14829317386693
423,-522.4527519275034
424,-831.6434328399764
425,-520.6801751855184
426,-262.5615587654267
427,-651.0282513517432
428,-389.3663799111156
429,-730.270290764779
430,-463.238501143735
431,-256.8888368100376
432,-392.54843635629754
433,-765.9889077714622
434,-391.16093682333053
435,-642.3112995817505
436,-1061.9898610407952
437,-786.1505637340651
438,-272.56893765731496
439,-521.9931559023238
440,-391.09809532276296
441,-391.23977537665064
442,-523.1076032117148
443,-659.646089388365
444,-265.0035709499153
445,-262.0101414134945
446,-262.5621266243715
447,-776.161165652717
448,-394.499665967494
449,-692.9329525031776
450,-262.05693291244467
451,-824.1480808561357
452,-242.9337083687601
453,-265.00249550011404
454,-516.6223794917418
455,-683.8916109949868
456,-262.3245448925235
457,-395.39530352223807
458,-790.8589779651884
459,-260.21579960921366
460,-391.7686801305273
461,-925.4895711664908
462,-806.2094893614998
463,-651.7240190279648
464,-519.2942447240719
465,-130.83831128124993
466,-1134.3092177087747
467,-389.5986448013359
468,-528.4197342339312
469,-651.7392327451195
470,-2.779859301612976
471,-829.2110469603571
472,-540.0489889818653
473,-920.2298176206724
474,-675.4708967825917
475,-407.37118322721756
476,-543.3390254615041
477,-917.1908348178275
478,-986.9922653374274
479,-523.0719360869915
480,-392.2910387301008
481,-712.8836798828677
482,-131.44666140878425
483,-669.2101908525259
484,-2.7305568363878683
485,-380.1606595774871
486,-720.6390358997731
487,-407.5343872258559
488,-532.4295028910022
489,-262.5399831112241
490,-1083.1481951321368
491,-263.0363039451279
492,-396.2296122872071
493,-130.23083936966484
494,-646.2130096963936
495,-132.23296186806755
496,-259.3577604572255
497,-1071.5420935423401
498,-129.52762013039404
499,-529.5510122353294
500,-2.3753938989370806
501,-802.6065633804075
502,-896.7884085634633
503,-658.2516755228158
504,-135.08496295878047
505,-534.374082621903
506,-266.88608682414537
507,-133.0800051632608
508,-816.3821997222504
509,-1.8437886719039551
510,-536.6128034189652
511,-2.180771327252424
512,-132.61669105472964
513,-544.156065400215
514,-2.231080978990977
515,-419.3519906574086
516,-656.9679230501865
517,-688.3761792668414
518,-578.6366824541774
519,-392.68481247615733
520,-1063.733037174238
521,-129.12427401012386
522,-390.2426643366982
523,-403.1527525026006
524,-2.094419075734058
525,-935.3932712243752
526,-535.4263798998757
527,-527.5023466236579
528,-790.9956788805376
529,-915.4928093563477
530,-663.2738505556987
531,-796.0051984724956
532,-262.0215498586531
533,-136.05273924105637
534,-130.0475698155065
535,-853.7632877504166
536,-131.57859705345382
537,-704.5407046661724
538,-537.0883254924362
539,-130.79510548857743
540,-672.2150543471133
541,-399.81563830490387
542,-258.0654975004417
543,-525.9619384065691
544,-131.8991057214593
545,-684.4192193820104
546,-395.681006156392
547,-258.7214574002507
548,-131.70412789961082
549,-536.0857654231806
550,-131.40129133622048
551,-3.1744922344588717
552,-131.86173209958565
553,-581.0693435962601
554,-259.0401080953488
555,-263.5831293157216
556,-855.3595798716931
557,-129.7206783360047
558,-260.21413837986904
559,-522.8243407583635
560,-262.53523241628835
561,-396.8231047541442
562,-2.0105635035835574
563,-2.029499236634811
564,-130.5679397957473
565,-133.1330846502527
566,-411.1802578744285
567,-261.6881224135169
568,-132.90727009716178
569,-548.7498997966753
570,-263.42864460289326
571,-261.6732056982346
572,-419.36021715304935
573,-700.261984579678
574,-264.25896242771023
575,-2.7241045935191184
576,-131.91605732500435
577,-128.1627468257588
578,-659.174489458846
579,-674.434744221417
580,-530.1817601466023
581,-665.737147162769
582,-265.3671466150391
583,-399.16235994814076
584,-261.4786838120904
585,-921.0426605518506
586,-396.070818426793
587,-856.1809529267794
588,-396.63739225455646
589,-673.767112418272
590,-1.4806484144285752
591,-2.028327279401931
592,-651.7396458973078
593,-400.6461094681073
594,-261.98841968261655
595,-397.8629134917529
596,-846.8988746094412
597,-131.13730964184998
598,-263.1800822575132
599,-259.35929244234944
600,-416.75075116312786
601,-399.1057961874156
602,-264.82086656053593
603,-1.2718678088102477
604,-555.181534861315
605,-749.7202531256071
606,-268.74370637400153
607,-1.2201694998358406
608,-559.870604008127
609,-1.5077257113537268
610,-262.36570110291734
611,-409.1637912623734
612,-131.34486048437756
613,-1020.8990612157902
614,-535.815169356834
615,-414.9993484965836
616,-264.7349856489696
617,-394.5512767093814
618,-131.5455326846602
619,-850.2391050980376
620,-260.0183090567077
621,-131.77342518003033
622,-131.4775232408656
623,-535.8980418106912
624,-132.91173579281514
625,-684.0094993503718
626,-261.5142281241231
627,-1.1653998148307294
628,-132.27943018620132
629,-530.4194634869557
630,-130.05529901529763
631,-762.6496669554801
632,-6.804067194572059
633,-133.80150791018684
634,-549.6206834801163
635,-132.25851615435963
636,-259.7306166426958
637,-265.0305970725585
638,-513.1270784924733
639,-692.599262301281
640,-134.36831526862127
641,-1.7079492810170545
642,-396.3003778936367
643,-268.8874560103558
644,-133.94544333083255
645,-131.75632390345888
646,-132.81911101661458
647,-131.15803832798386
648,-265.73403967481937
649,-129.74845601906915
650,-397.89358885755934
651,-405.51866767485194
652,-1.8554875490070029
653,-395.0819028789534
654,-402.21774821799147
655,-131.98956413323236
656,-132.5375539561351
657,-739.9833645719023
658,-401.8880763439109
659,-131.6013043625143
660,-136.20883616369767
661,-572.713329791726
662,-629.7838809117457
663,-262.38036452895176
664,-269.35315119017685
665,-400.30099089401847
666,-131.73963064247235
667,-674.1923857509744
668,-265.0800875611502
669,-131.8635234270552
670,-867.9936317331648
671,-525.2251625114532
672,-553.4721528993196
673,-550.5561061253378
674,-0.9414668638531587
675,-396.9700037783683
676,-129.03297607857345
677,-414.3015273028268
678,-429.6820297483545
679,-262.31614247461886
680,-525.5584951027618
681,-1.5950821161311926
682,-266.0671606784439
683,-132.4566342627557
684,-415.22824170719906
685,-526.3900006750436
686,-264.49231963153034
687,-272.84381003055205
688,-266.38856802758653
689,-129.31650877294373
690,-1.3904929419514507
691,-132.05163832509544
692,-397.7952695081562
693,-393.0584071797321
694,-392.2342609964823
695,-776.7773612928518
696,-404.7317843403563
697,-259.5162470754678
698,-261.777587918128
699,-822.9590405362699
700,-261.657755243418
701,-527.7196955459348
702,-260.5404810945936
703,-1.2932823814960752
704,-268.0823130613797
705,-259.5079684233993
706,-523.4904938256706
707,-259.9166778078832
708,-262.5081443105629
709,-131.11763935049333
710,-130.90769321964953
711,-417.9951151555762
712,-552.3986482510176
713,-396.1742870459201
714,-130.10858590057018
715,-130.13654376419544
716,-131.27068510573847
717,-411.5845866999976
718,-2.8012245368009574
719,-2.238141669190817
720,-129.90519575550707
721,-130.4970862905767
722,-755.0874367369855
723,-1.502597762077548
724,-267.50383933661635
725,-530.1817427029346
726,-400.9482159422043
727,-414.8392028395508
728,-261.07757059026716
729,-397.0671752635981
730,-130.98127195606133
731,-265.2016135699605
732,-703.952295479382
733,-260.7566490745391
734,-394.4008005821446
735,-791.1425921898609
736,-505.3264704474178
737,-410.765773353337
738,-264.16188994369446
739,-135.12074486367598
740,-126.74788671481254
741,-131.92689404488672
742,-401.3305542250616
743,-256.847900783798
744,-132.71166824877372
745,-264.82406064241155
746,-287.6969261684855
747,-696.4770111442979
748,-390.4658323517685
749,-424.06708788223574
750,-595.6678319219404
751,-257.65567971461354
752,-261.22790385669435
753,-261.1738174542601
754,-651.7835198187838
755,-132.73767139927998
756,-398.84687909944364
757,-0.8290568795670741
758,-128.1587903440945
759,-397.6678798844237
760,-131.61921178764783
761,-268.6449002521608
762,-1009.8981025416621
763,-130.12937540282005
764,-268.02897960805836
765,-267.60845026220926
766,-131.83601297497358
767,-392.56680703520965
768,-138.16487579886387
769,-525.2878427741273
770,-2.1907716839647016
771,-129.9332396114275
772,-259.76620664396694
773,-256.1622181509361
774,-129.74816545605796
775,-129.88829988687797
776,-269.43751150741167
777,-546.1124475191687
778,-133.44680902345695
779,-389.3679752675943
780,-586.5935768929485
781,-129.5712286957879
782,-131.77143511567326
783,-433.87101141830703
784,-130.1020214659228
785,-266.5351148588949
786,-382.1249304424536
787,-396.95074722192436
788,-0.749294763485659
789,-590.2823458660192
790,-128.09911493591608
791,-132.18338739799788
792,-271.11444173620697
793,-128.90929658990652
794,-131.5816404668692
795,-264.92350169537144
796,-389.7906747888952
797,-389.111645177808
798,-541.9909568866184
799,-411.54254077503174
800,-431.45334916585267
801,-520.1685020233236
802,-2.8804530476808257
803,-629.1061727918976
804,-132.4196837175978
805,-132.87456954459333
806,-534.2421874614461
807,-261.3037576450014
808,-393.9832486140686
809,-257.9172578577303
810,-263.83053562347266
811,-258.6327507522056
812,-496.05457837493753
813,-2.3585717161447546
814,-383.3093543737591
815,-129.10652782470382
816,-1035.7580121477486
817,-1.3891371249941453
818,-404.1059134203805
819,-257.82224323638087
820,-905.7834712075713
821,-534.2908931055686
822,-131.65531464705987
823,-403.96593175569393
824,-539.0438827058512
825,-419.3864696308212
826,-926.9970126845394
827,-388.2272204208502
828,-699.4543107838546
829,-805.1484745375095
830,-414.5781868183538
831,-260.4854412157015
832,-259.8425570479622
833,-261.3363121293545
834,-128.28111743153153
835,-901.0948825045368
836,-129.87623309700942
837,-546.7622424310505
838,-128.5773769528046
839,-130.64914825377735
840,-130.89187854696502
841,-505.95595283792045
842,-134.4837820048385
843,-916.875028536879
844,-128.42988619012516
845,-404.83036167941975
846,-132.17924900085214
847,-1.0721582986763367
848,-130.88545240693801
849,-415.30339390791266
850,-404.5929716921138
851,-1.5776733195767125
852,-431.5666890099811
853,-520.8772625548143
854,-130.70318105999846
855,-131.6881474638824
856,-528.3268255961935
857,-384.0058892617761
858,-269.6815164100804
859,-1.5381173631749567
860,-129.27539483425275
861,-260.204306152219
862,-1.103723110281355
863,-256.1771480978042
864,-420.2019218281125
865,-526.7734560117964
866,-0.9568105992185605
867,-396.4714473493817
868,-398.50580398167534
869,-537.047433700319
870,-412.39121036357614
871,-260.12914312938403
872,-533.4305093396964
873,-0.9294214087244259
874,-260.23094860430837
875,-586.6573988855569
876,-476.7241801795589
877,-374.8359676628321
878,-398.14939349518124
879,-400.0532963026341
880,-789.4980590364298
881,-389.8412428915783
882,-130.82696228273164
883,-399.8609719616351
884,-262.5422020247479
885,-0.8144289865170501
886,-397.74342729078586
887,-447.7820015463077
888,-414.64494975660557
889,-262.8041705273592
890,-528.0084518756404
891,-135.9078139555301
892,-443.53895526091605
893,-1.1901313149291757
894,-129.95715335171909
895,-391.89782801871246
896,-257.5322341186727
897,-403.6002684619423
898,-260.60364083455784
899,-701.6484332469029
900,-700.6529237130496
901,-133.9859864326305
902,-130.3679864886591
903,-261.7534814179529
904,-128.29647286486366
905,-1.4978090532066661
906,-394.8540667294519
907,-256.198293517753
908,-0.6692563318682503
909,-268.3134607214058
910,-556.2302050688123
911,-256.204337921545
912,-257.5398139967543
913,-262.99840989297775
914,-692.0950389443803
915,-133.46300815834755
916,-256.5319242501811
917,-413.10146802714496
918,-264.5664965482371
919,-397.9766323860285
920,-397.44383532846143
921,-378.0917786905438
922,-3.9331647326849226
923,-522.1601760899118
924,-263.17564083983336
925,-267.8006501609281
926,-1.499840306495313
927,-129.3857441784791
928,-262.7277755869737
929,-1.262889571139026
930,-132.70145955250305
931,-413.8241733532892
932,-612.0516199648711
933,-131.1527116352537
934,-1.2678853562492658
935,-396.3414180697581
936,-129.904930818223
937,-530.3808820123966
938,-265.76770680538215
939,-130.0702593143313
940,-527.8280305396122
941,-129.29783604489648
942,-130.86638571178432
943,-130.10524425694223
944,-130.18335324096896
945,-388.70644921275186
946,-544.0690849057127
947,-262.4116704366712
948,-395.382275175376
949,-640.4476250177444
950,-410.7835236662781
951,-524.1927710312916
952,-406.6904816385704
953,-262.1873881987373
954,-2.5549688741369767
955,-536.6417050565866
956,-131.27302140418706
957,-382.656581336682
958,-129.49384262017253
959,-131.7228292653561
960,-422.1976968656541
961,-435.5965967341006
962,-1.7624632294543472
963,-129.91887718685734
964,-653.8966427210136
965,-132.16872684984298
966,-392.87833086067366
967,-261.9135086897527
968,-129.6817755743952
969,-423.71177677244896
970,-259.1379189040798
971,-396.08892351725564
972,-259.9089635310731
973,-253.36910102084374
974,-127.67714663859016
975,-131.34053877578103
976,-255.68932003871697
977,-127.70278050542537
978,-408.2886585829655
979,-519.6686738995121
980,-129.62613377198915
981,-130.2270855824025
982,-263.9120617160433
983,-413.7900127677016
984,-135.0946484753262
985,-419.7371124103437
986,-131.48191989300628
987,-131.8644464630307
988,-257.8811722337701
989,-276.18086045617173
990,-478.30468401167565
991,-919.2528549789038
992,-429.96601527438867
993,-271.6466027181234
994,-132.08419468219404
995,-390.5517879433679
996,-129.83235579624713
997,-263.1232545729873
998,-131.9483496670086
999,-463.21896069798
1000,-133.11902096659796
1001,-266.903536817698
1002,-134.46378795940248
1003,-129.0893551821284
1004,-382.94586995600685
1005,-877.1280902950681
1006,-400.4336966318369
1007,-399.4648290004142
1008,-128.16784464392595
1009,-129.72778739698083
1010,-261.7683242246217
1011,-127.80624392508754
1012,-268.577711036049
1013,-261.7292243957432
1014,-401.13151831779356
1015,-254.74111071304154
1016,-521.0160398338452
1017,-554.481800560878
1018,-2.6063760032209373
1019,-396.2517829678885
1020,-0.8501734130058599
1021,-251.81023503930922
1022,-522.6838142917175
1023,-535.6021568495257
1024,-520.1196489665783
1025,-128.05475930038327
1026,-404.9117067245266
1027,-389.7687487965109
1028,-126.61646886654144
1029,-132.5993073949967
1030,-262.3307423846159
1031,-533.6613524264288
1032,-401.8166400127398
1033,-655.285541524438
1034,-127.98673896862236
1035,-128.8849825742977
1036,-260.516812732913
1037,-438.6401413219713
1038,-438.0935001628738
1039,-590.2029168335229
1040,-1.0931136183233252
1041,-131.79601965309956
1042,-261.38799903795166
1043,-130.25842755980878
1044,-1.3666379586960573
1045,-262.56694362581715
1046,-515.5641223056311
1047,-129.27674483498487
1048,-382.1282559357855
1049,-377.6302760117512
1050,-0.9912435489578961
1051,-128.6449923186604
1052,-454.9141789485274
1053,-545.3838443634532
1054,-390.89727181835735
1055,-522.571991207661
1056,-401.706576386887
1057,-126.55638562821942
1058,-266.6047457493324
1059,-131.89018917645586
1060,-481.8214483229377
1061,-584.2227326520213
1062,-131.4016440599756
1063,-499.576686942084
1064,-402.9197037966942
1065,-132.47694664494364
1066,-132.84917634931907
1067,-1.4480316068497334
1068,-533.3492524527047
1069,-263.6663481544367
1070,-1.2760469013062217
1071,-1.4418279137729944
1072,-132.83019569996657
1073,-524.4528675197398
1074,-266.86906927400645
1075,-387.9468717235661
1076,-398.06695755641675
1077,-393.7431520588042
1078,-1.1180550884734999
1079,-257.911665243259
1080,-258.63944776646133
1081,-523.2662342260858
1082,-257.98206786873476
1083,-269.380770309373
1084,-280.3410043652716
1085,-133.110497071573
1086,-539.1372783318637
1087,-129.90479136838084
1088,-506.63665822609363
1089,-648.8847226935059
1090,-702.5510372400381
1091,-612.0978686489705
1092,-412.5418134198311
1093,-256.82751107971626
1094,-387.88356824684394
1095,-265.98033462752505
1096,-130.24669518391744
1097,-128.6460624915447
1098,-132.38070431485315
1099,-372.9190068180331
1100,-263.50282506340994
1101,-131.15693966862017
1102,-394.1855955862676
1103,-0.8599896656041334
1104,-260.6901056376564
1105,-392.61421966344693
1106,-422.45234115336405
1107,-1.2142010724693513
1108,-580.9800690343877
1109,-398.1361995576185
1110,-268.7666313531123
1111,-261.1683546594369
1112,-128.54467253778083
1113,-265.10460365709594
1114,-131.6805646693872
1115,-274.3501065584357
1116,-0.9215145199939003
1117,-266.51568813508834
1118,-542.1440786862814
1119,-1.2527732955414692
1120,-131.0436864759214
1121,-130.77530875480684
1122,-129.79029805838027
1123,-133.6881482693225
1124,-393.9496257541211
1125,-2.6626677559276133
1126,-551.9176280442493
1127,-262.15100616164966
1128,-525.500460968849
1129,-394.81182567593845
1130,-250.2628009207114
1131,-2.293242964356408
1132,-261.2622634786747
1133,-1.2314296768175341
1134,-130.28660172985008
1135,-529.7125923845862
1136,-129.29461049032565
1137,-129.72012011340618
1138,-263.4476686569554
1139,-458.88092770329604
1140,-130.54192563515988
1141,-264.8604141341804
1142,-130.4371652369443
1143,-266.301585163682
1144,-403.88638189008776
1145,-265.4085936530573
1146,-399.5330647276977
1147,-2.8286995143692795
1148,-129.94700758329844
1149,-503.6103211634401
1150,-1.0432391892062014
1151,-266.3753566736551
1152,-513.855732143826
1153,-264.0353398833499
1154,-602.5833831746372
1155,-131.44158252703733
1156,-132.78032071192652
1157,-545.9090098445098
1158,-130.855879936867
1159,-262.6737503738446
1160,-2.442983870086253
1161,-0.6812214074207631
1162,-530.3775573581507
1163,-398.42294527865255
1164,-379.7062302310336
1165,-397.3004751585642
1166,-131.1074317391831
1167,-412.265590655041
1168,-264.67967060396546
1169,-131.67217408906916
1170,-127.5336059913063
1171,-131.07363113680722
1172,-126.89020539953698
1173,-267.34639589372654
1174,-129.76706296609717
1175,-443.1701235306792
1176,-377.0618228254959
1177,-129.7471811213282
1178,-130.57097098081647
1179,-129.51566095315587
1180,-1.0252820632557027
1181,-128.55950778798442
1182,-379.9650796135891
1183,-0.8850857518872621
1184,-129.24160519077827
1185,-130.70581727055924
1186,-1.491996410461772
1187,-408.9706443447947
1188,-128.75891107782357
1189,-256.51617842985206
1190,-261.9742244909939
1191,-131.91599174287612
1192,-267.5684408277472
1193,-270.5841219336373
1194,-265.0484965873445
1195,-382.82629802868615
1196,-390.81569457416475
1197,-255.6776836490065
1198,-131.68406445269176
1199,-131.6747421072931
1200,-391.74943612770494
1201,-488.86069181093177
1202,-545.9397554453769
1203,-128.16193283723118
1204,-256.0042298798102
1205,-518.1733423865239
1206,-262.4209479250537
1207,-127.69465828416655
1208,-126.83856977876678
1209,-516.7406527719287
1210,-262.80915592740234
1211,-1.8184768133219509
1212,-130.1469138255943
1213,-590.200577626558
1214,-393.9576627656446
1215,-266.04807153002537
1216,-560.745352634406
1217,-2.443955487693362
1218,-258.83817877676734
1219,-377.396599749932
1220,-131.54829591908333
1221,-0.7087866366862936
1222,-130.11246610735859
1223,-260.67897785259686
1224,-522.3521079276296
1225,-517.7900467571476
1226,-130.7087536948915
1227,-390.5539783582736
1228,-656.4427906025401
1229,-254.42480281810165
1230,-260.3352092952128
1231,-128.8063463021389
1232,-130.7566071247865
1233,-130.6465473200219
1234,-270.0379657840462
